Add Pin To Net: Unknown Pin: Pin DCDC101-5
Add Net: Net with name "Cell0" already exists
Add Net: Net with name "Cell1" already exists
Add Net: Net with name "Cell2" already exists
Add Net: Net with name "Cell3" already exists
Add Net: Net with name "Cell4" already exists
Add Net: Net with name "Cell5" already exists
Add Net: Net with name "Cell6" already exists
Add Net: Net with name "Cell7" already exists
Add Net: Net with name "Cell8" already exists
Add Net: Net with name "Cell9" already exists
Add Net: Net with name "Cell10" already exists
Add Net: Net with name "Cell11" already exists
Add Net: Net with name "Cell12" already exists
Add Net: Net with name "NTC1" already exists
Add Net: Net with name "NTC2" already exists
Add Net: Net with name "NTC3" already exists
Add Net: Net with name "NTC4" already exists
Add Net: Net with name "NTC5" already exists
Add Net: Net with name "NTC6" already exists
Add Net: Net with name "NTC7" already exists
Add Net: Net with name "NTC8" already exists
Add Net: Net with name "Vref2" already exists
